job_title,posted_time,company_name,company_location,job_type,job_skills
Data Analyst,2 days ago,Nahr Development,"Bolkly, Alexandria, Egypt ",Full Time, · Information Technology (IT) · BI · Analysis · business · analytical · SQL · Matplotlib
Data Analyst,2 days ago,Orient,"Maadi, Cairo, Egypt ",Work From Home,Full TimeEntry Level · 1+ Yrs of Exp · Analyst/Research · Data Analysis · Data Analytics · Financial Data Analysis · Business Analysis · Research Analysis · Business Analytics · Information Technology (IT) · English
Data Analyst Supervisor,1 day ago,SURE International Technology,"Cairo, Egypt ",Full Time,Full TimeManager · 5+ Yrs of Exp · IT/Software Development · Analyst/Research · BI · Data Analysis · Analysis · Python · Analytics · Commerce · Computer Science · Mathematics
Senior Digital Data Analyst,5 days ago,Jazeera Paints,"10th of Ramadan City, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Analyst · analytical · business · Computer Science · Data · Data Analysis
Data Analyst,2 days ago,Grand Plast,"Salam City, Cairo, Egypt ",Full Time,Full TimeExperienced · 7 - 12 Yrs of Exp · Analyst/Research · English · Data Analysis · Analysis · Computer Science · Information Technology (IT)
Data Analyst,13 days ago,Alarabia Group,"10th of Ramadan City, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · BI Developer · Computer Science · developer · Information Technology (IT) · Power · Power BI
Senior Data & Web Analyst,18 days ago,Finstek,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Analytics · Data · Google Analytics · Web · Web Analytics · SQL · English
Data analyst,29 days ago,Confidential,"Qalyub, Qalubia, Egypt ",Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · males_only · Accounting/Finance · Analyst/Research · Analysis · Commerce · Data Analysis · Software · Analyst · Finance · Data Analyst · Accounting
Data Analyst,26 days ago,Rashideen Egypt for Trade,"Basatin, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · Business Development · Analyst/Research · Analysis · Data · Data Analysis · Computer Science · ERP · Database
Financial Data Analyst - (French/Russian/German/Italy) Speakers,27 days ago,World Vest Base (WVB ),"Heliopolis, Cairo, Egypt ",Full Time,Full TimeEntry Level · 0 - 2 Yrs of Exp · Accounting/Finance · Analyst/Research · Alsun · Accounting · English · french · Russian · turkish · Analysis · Financial Analysis
English Financial Data Analyst,30 days ago,World Vest Base (WVB ),"Heliopolis, Cairo, Egypt ",Full Time,Full TimeEntry Level · 0 - 2 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Communication · Commerce · English · Finance · Financial Analysis · Data Analysis · Finance Analysis
Data Analyst,1 month ago,MTS Logistics,"New Cairo, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1+ Yrs of Exp · Analyst/Research · Analyst · Analysis · Data Analyst · Data Analysis · Accounting · Finance · Reporting · Financial Analysis
Business Analyst ( Project Base Onsite ),13 days ago,Qsource,"Dokki, Giza, Egypt ",Full Time,Freelance / ProjectEntry Level · 1 - 2 Yrs of Exp · Analyst/Research · Agile · Analysis · Business Analysis · business · Computer Science · Development · Engineering · Data · Information Technology (IT)
Business Analyst,12 days ago,MTS,"Heliopolis, Cairo, Egypt ",Freelance / Project,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Business Analysis · Communication skills · Computer Science · Data · English
Data Analyst,1 month ago,Confidential,"Bab Sharq, Alexandria, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Analyst/Research · Sales/Retail · Accounting · Analyst · Data Analysis · Marketing · Sales · Analysis · Information Technology (IT) · Business Administration
